,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sokolo,14.73,-6.12,76.62,18,0,11.61,ML,1609800410
1,ust-tsilma,65.44,52.15,-7.35,90,24,4.23,RU,1609800410
2,bud,39.45,-86.18,39.99,80,12,2.86,US,1609800410
3,sioux lookout,50.1,-91.92,30.2,86,75,5.82,CA,1609800410
4,castro,-24.79,-50.01,64.98,85,94,3.65,BR,1609800410
5,mana,5.66,-53.78,77.74,84,45,7.29,GF,1609800410
6,busselton,-33.65,115.33,63.0,75,0,5.01,AU,1609800410
7,yumen,40.28,97.2,7.21,78,0,10.42,CN,1609800410
8,kahului,20.89,-156.47,82.4,54,40,11.41,US,1609800410
9,siatista,40.26,21.54,39.2,100,93,2.24,GR,1609800245
10,sitka,57.05,-135.33,42.8,60,75,9.17,US,1609800134
11,hermanus,-34.42,19.23,71.01,86,39,1.01,ZA,1609800410
12,sao joao da barra,-21.64,-41.05,76.33,87,100,18.75,BR,1609800333
13,new norfolk,-42.78,147.06,66.0,60,68,1.99,AU,1609800410
14,rancho palos verdes,33.74,-118.39,61.0,84,0,4.0,US,1609800175
15,bauchi,10.5,10.0,72.72,23,0,3.85,NG,1609800410
16,codrington,-38.27,141.97,57.92,85,99,15.93,AU,1609800411
17,punta arenas,-53.15,-70.92,53.6,58,0,13.87,CL,1609800329
18,yellowknife,62.46,-114.35,-20.0,75,20,9.17,CA,1609800147
19,kodiak,57.79,-152.41,33.8,100,90,5.82,US,1609800411
20,east london,-33.02,27.91,76.64,65,99,6.51,ZA,1609800411
21,kavieng,-2.57,150.8,84.99,72,100,13.27,PG,1609800411
22,xam nua,20.42,104.04,48.4,93,65,1.57,LA,1609800411
23,kamyzyak,46.11,48.07,19.4,85,0,11.18,RU,1609800128
24,butaritari,3.07,172.79,81.63,79,3,18.66,KI,1609800128
25,petropavlovsk-kamchatskiy,53.05,158.65,14.0,85,40,2.24,RU,1609800209
26,bengkulu,-3.8,102.27,77.54,82,88,4.83,ID,1609800411
27,pevek,69.7,170.31,-20.2,88,90,5.99,RU,1609800411
28,atuona,-9.8,-139.03,77.95,78,52,15.82,PF,1609800411
29,baruun-urt,46.68,113.28,-20.92,83,89,4.9,MN,1609800411
30,san cristobal,7.77,-72.22,77.0,83,40,4.7,VE,1609800411
31,ulaangom,49.98,92.07,-25.78,77,22,0.31,MN,1609800133
32,airai,-8.93,125.41,64.67,100,99,1.45,TL,1609800411
33,tuktoyaktuk,69.45,-133.04,-20.2,75,40,5.82,CA,1609800138
34,saint-philippe,-21.36,55.77,77.0,73,90,4.7,RE,1609800411
35,puerto ayora,-0.74,-90.35,86.0,55,0,10.29,EC,1609800412
36,ponta do sol,32.67,-17.1,62.01,82,20,5.82,PT,1609800412
37,chernaya kholunitsa,58.85,51.72,18.5,98,94,4.41,RU,1609800412
38,gayny,60.31,54.32,11.91,96,80,5.68,RU,1609800412
39,albany,42.6,-73.97,34.0,85,95,2.71,US,1609800171
40,norman wells,65.28,-126.83,-14.8,75,20,11.41,CA,1609800412
41,qaanaaq,77.48,-69.36,-5.62,76,13,4.38,GL,1609800412
42,sinnamary,5.38,-52.95,78.08,85,56,8.95,GF,1609800412
43,saldanha,-33.01,17.94,66.2,82,1,9.17,ZA,1609800113
44,tasiilaq,65.61,-37.64,21.2,48,99,6.93,GL,1609800412
45,kapaa,22.08,-159.32,78.8,69,20,9.17,US,1609800144
46,lebu,-37.62,-73.65,57.42,72,0,22.97,CL,1609800412
47,mataura,-46.19,168.86,55.99,93,100,1.01,NZ,1609800412
48,goundam,16.41,-3.67,75.06,18,0,11.1,ML,1609800412
49,ushuaia,-54.8,-68.3,53.6,54,40,21.92,AR,1609800226
50,jamestown,42.1,-79.24,34.0,99,90,3.36,US,1609800336
51,barrow,71.29,-156.79,-9.4,69,40,3.36,US,1609800412
52,encruzilhada do sul,-30.54,-52.52,70.97,72,100,8.68,BR,1609800412
53,rikitea,-23.12,-134.97,76.84,77,66,18.34,PF,1609800119
54,lalibela,12.03,39.03,50.67,53,0,2.37,ET,1609800412
55,hobart,-42.88,147.33,66.99,72,75,2.24,AU,1609800412
56,holme,56.11,10.17,35.6,91,99,11.41,DK,1609800412
57,klaksvik,62.23,-6.59,41.0,100,97,9.51,FO,1609800412
58,verkhovazhye,60.75,42.05,11.3,96,65,3.11,RU,1609800412
59,hilo,19.73,-155.09,78.8,74,90,6.93,US,1609800413
60,kuminskiy,58.67,66.57,-7.82,89,100,6.38,RU,1609800413
61,beregovoy,55.17,73.22,-18.4,68,100,6.71,RU,1609800413
62,milledgeville,33.08,-83.23,59.0,41,1,9.17,US,1609800413
63,independence,39.09,-94.42,42.8,70,1,9.17,US,1609800291
64,srednekolymsk,67.45,153.68,-27.6,85,89,6.04,RU,1609800129
65,port elizabeth,-33.92,25.57,71.6,94,40,4.7,ZA,1609800126
66,ambilobe,-13.2,49.05,73.65,89,28,1.12,MG,1609800413
67,touros,-5.2,-35.46,80.6,78,40,13.87,BR,1609800413
68,omidiyeh,30.76,49.7,55.4,82,0,4.59,IR,1609800413
69,bay roberts,47.6,-53.26,33.01,33,46,4.0,CA,1609800413
70,port alfred,-33.59,26.89,71.01,94,82,1.01,ZA,1609800413
71,duki,30.15,68.57,43.81,64,18,4.03,PK,1609800413
72,kaeo,-35.1,173.78,73.94,55,0,6.11,NZ,1609800413
73,basoko,1.24,23.62,73.44,88,80,3.42,CD,1609800413
74,mayo,38.89,-76.51,43.0,86,90,2.28,US,1609800176
75,bredasdorp,-34.53,20.04,69.8,83,57,6.93,ZA,1609800413
76,hithadhoo,-0.6,73.08,82.72,75,100,13.44,MV,1609800239
77,bridlington,54.08,-0.19,39.2,64,100,18.34,GB,1609800413
78,rawson,-43.3,-65.1,60.98,54,0,18.88,AR,1609800413
79,dandong,40.13,124.39,6.94,70,0,9.01,CN,1609800413
80,batagay-alyta,67.8,130.41,-24.88,83,53,1.36,RU,1609800413
81,bluff,-46.6,168.33,55.99,93,100,1.01,NZ,1609800413
82,san policarpo,12.18,125.51,81.45,74,100,13.22,PH,1609800413
83,torbay,47.67,-52.73,33.01,100,90,14.99,CA,1609800413
84,chuy,-33.7,-53.46,71.58,82,97,13.15,UY,1609800141
85,ancud,-41.87,-73.82,64.4,45,0,10.29,CL,1609800131
86,popondetta,-8.75,148.25,86.34,59,100,2.35,PG,1609800414
87,dmitriyevka,54.75,55.33,15.8,92,90,6.71,RU,1609800414
88,georgetown,5.41,100.34,79.0,88,20,3.36,MY,1609800414
